date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-5-value,GridSim-0.Bus-2-value,GridSim-0.Bus-3-value,GridSim-0.Bus-1-value,GridSim-0.Bus-4-value,GridSim-0.Bus-0-value,GridSim-0.ExternalGrid-0-value
2016-01-01 00:00:00,0,0,9.105147361755371,-6.321375512921001,4.218137014777376,-2.0635239769717373,0.0,4.153970068342071,-0.0327975971714566,0.0327975971714566
2016-01-01 00:00:01,0.0327975971714566,0,0.07715654373168945,-6.321375512921001,4.218137014777376,-2.0635239769717373,0.0,4.153970068342071,-0.0327975971714566,0.0327975971714566
2016-01-01 00:15:00,0.0327975971714566,0,17.930338859558105,-5.944227422043369,3.753031847802021,-2.122409100988598,0.0,4.417392726603666,-0.1468904174708493,0.1468904174708493
2016-01-01 00:15:01,0.1468904174708493,0,0.06722903251647949,-5.944227422043369,3.753031847802021,-2.122409100988598,0.0,4.417392726603666,-0.1468904174708493,0.1468904174708493
2016-01-01 00:30:00,0.1468904174708493,0,19.094008922576904,-5.794276393209508,3.507331283624581,-2.112211731080116,0.0,4.40491978255009,-0.04727823290047961,0.04727823290047961
2016-01-01 00:30:01,0.04727823290047961,0,0.06456708908081055,-5.794276393209508,3.507331283624581,-2.112211731080116,0.0,4.40491978255009,-0.04727823290047961,0.04727823290047961
2016-01-01 00:45:00,0.04727823290047961,0,17.237833499908447,-6.338760866637649,4.075053236918285,-5.458854042434957,0.0,4.400767189410798,3.26395747968238,-3.26395747968238
2016-01-01 00:45:01,0,3.26395747968238,0.07746338844299316,-6.338760866637649,4.075053236918285,-5.458854042434957,0.0,4.400767189410798,3.26395747968238,-3.26395747968238
2016-01-01 01:00:00,0,3.26395747968238,16.959537982940674,-6.344399192523831,4.136015917124718,-2.083918944086882,0.0,3.6160728543779737,0.6325480548574411,-0.6325480548574411
2016-01-01 01:00:01,0,0.6325480548574411,0.06976103782653809,-6.344399192523831,4.136015917124718,-2.083918944086882,0.0,3.6160728543779737,0.6325480548574411,-0.6325480548574411
