date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-3-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-5-value,GridSim-0.Bus-0-value,GridSim-0.Bus-1-value,GridSim-0.Bus-4-value,GridSim-0.Bus-2-value
2016-01-01 00:00:00,0,0,0.047657012939453125,-4.070214362933953,0.041706374201777315,-4.301892720185497,-0.041706374201777315,0.0,4.153970068342071,4.218137014777376
2016-01-01 00:00:01,0.041706374201777315,0,0.019928455352783203,-4.070214362933953,0.041706374201777315,-4.301892720185497,-0.041706374201777315,0.0,4.153970068342071,4.218137014777376
2016-01-01 00:15:00,0.041706374201777315,0,0.03880000114440918,-4.08933716290257,0.04035769007092844,-4.081087411503116,-0.04035769007092844,0.0,4.417392726603666,3.753031847802021
2016-01-01 00:15:01,0.04035769007092844,0,0.024373769760131836,-4.08933716290257,0.04035769007092844,-4.081087411503116,-0.04035769007092844,0.0,4.417392726603666,3.753031847802021
2016-01-01 00:30:00,0.04035769007092844,0,0.043416738510131836,-4.554810910171447,0.03895892081520147,-3.357440156003223,-0.03895892081520147,0.0,4.40491978255009,3.507331283624581
2016-01-01 00:30:01,0.03895892081520147,0,0.029891014099121094,-4.554810910171447,0.03895892081520147,-3.357440156003223,-0.03895892081520147,0.0,4.40491978255009,3.507331283624581
2016-01-01 00:45:00,0.03895892081520147,0,0.039079904556274414,-4.597470214529789,0.04257696175899679,-3.8783502117992947,-0.04257696175899679,0.0,4.400767189410798,4.075053236918285
2016-01-01 00:45:01,0.04257696175899679,0,0.0796511173248291,-4.597470214529789,0.04257696175899679,-3.8783502117992947,-0.04257696175899679,0.0,4.400767189410798,4.075053236918285
2016-01-01 01:00:00,0.04257696175899679,0,0.0404970645904541,-4.176716711454931,0.0375381847251231,-3.57537206004776,-0.0375381847251231,0.0,3.6160728543779737,4.136015917124718
2016-01-01 01:00:01,0.0375381847251231,0,0.020018577575683594,-4.176716711454931,0.0375381847251231,-3.57537206004776,-0.0375381847251231,0.0,3.6160728543779737,4.136015917124718
