date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-5-value,GridSim-0.Bus-0-value,GridSim-0.Bus-4-value,GridSim-0.Bus-1-value,GridSim-0.Bus-2-value,GridSim-0.Bus-3-value,GridSim-0.ExternalGrid-0-value
2016-01-01 00:00:00,0,0,0.5010185241699219,-3.699273944088299,-1.2481874518490965,4.153970068342071,0.0,4.218137014777376,-3.462466011293009,1.2481874518490965
2016-01-01 00:00:01,1.2481874518490965,0,0.015524148941040039,-3.699273944088299,-1.2481874518490965,4.153970068342071,0.0,4.218137014777376,-3.462466011293009,1.2481874518490965
2016-01-01 00:15:00,1.2481874518490965,0,0.4542539119720459,-3.469556014470312,-1.2952106308450975,4.417392726603666,0.0,3.753031847802021,-3.442098973079827,1.2952106308450975
2016-01-01 00:15:01,1.2952106308450975,0,0.031200885772705078,-3.469556014470312,-1.2952106308450975,4.417392726603666,0.0,3.753031847802021,-3.442098973079827,1.2952106308450975
2016-01-01 00:30:00,1.2952106308450975,0,0.5000545978546143,-3.864515758954935,-1.5252726472920464,4.40491978255009,0.0,3.507331283624581,-2.5571067101017073,1.5252726472920464
2016-01-01 00:30:01,1.5252726472920464,0,0.07809853553771973,-3.864515758954935,-1.5252726472920464,4.40491978255009,0.0,3.507331283624581,-2.5571067101017073,1.5252726472920464
2016-01-01 00:45:00,1.5252726472920464,0,0.45589160919189453,-3.311366411130108,-1.5315572283517473,4.400767189410798,0.0,4.075053236918285,-3.6706529918923376,1.5315572283517473
2016-01-01 00:45:01,1.5315572283517473,0,0.015593290328979492,-3.311366411130108,-1.5315572283517473,4.400767189410798,0.0,4.075053236918285,-3.6706529918923376,1.5315572283517473
2016-01-01 01:00:00,1.5315572283517473,0,0.46885156631469727,-3.3394789113088383,-1.352740628232589,3.6160728543779737,0.0,4.136015917124718,-3.093495681285379,1.352740628232589
2016-01-01 01:00:01,1.352740628232589,0,0.015616655349731445,-3.3394789113088383,-1.352740628232589,3.6160728543779737,0.0,4.136015917124718,-3.093495681285379,1.352740628232589
