date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-3-value,GridSim-0.Bus-2-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-4-value,GridSim-0.Bus-5-value,GridSim-0.Bus-0-value,GridSim-0.Bus-1-value
2016-01-01 00:00:00,0,0,6.802226781845093,-6.2604239418107,4.218137014777376,0.04534177915110216,4.153970068342071,-2.1116910427476654,-0.04534177915110216,0.0
2016-01-01 00:00:01,0.04534177915110216,0,0.06249427795410156,-6.2604239418107,4.218137014777376,0.04534177915110216,4.153970068342071,-2.1116910427476654,-0.04534177915110216,0.0
2016-01-01 00:15:00,0.04534177915110216,0,9.495027303695679,-2.1224091009885986,3.753031847802021,4.050807216854145,4.417392726603666,-2.02830907551653,-4.050807216854145,0.0
2016-01-01 00:15:01,4.050807216854145,0,0.06818413734436035,-2.1224091009885986,3.753031847802021,4.050807216854145,4.417392726603666,-2.02830907551653,-4.050807216854145,0.0
2016-01-01 00:30:00,4.050807216854145,0,12.117595672607422,-2.112211731090135,3.507331283624581,0.04926132013254223,4.40491978255009,-5.792283489047811,-0.04926132013254223,0.0
2016-01-01 00:30:01,0.04926132013254223,0,0.06250238418579102,-2.112211731090135,3.507331283624581,0.04926132013254223,4.40491978255009,-5.792283489047811,-0.04926132013254223,0.0
2016-01-01 00:45:00,0.04926132013254223,0,7.214850902557373,-2.1355613858915348,4.075053236918285,0.0468752789276373,4.400767189410798,-6.33960085415719,-0.0468752789276373,0.0
2016-01-01 00:45:01,0.0468752789276373,0,0.06249880790710449,-2.1355613858915348,4.075053236918285,0.0468752789276373,4.400767189410798,-6.33960085415719,-0.0468752789276373,0.0
2016-01-01 01:00:00,0.0468752789276373,0,8.525654554367065,-2.0839189440959363,4.136015917124718,3.6520696539262794,3.6160728543779737,-2.0454382430612483,-3.6520696539262794,0.0
2016-01-01 01:00:01,3.6520696539262794,0,0.06250381469726562,-2.0839189440959363,4.136015917124718,3.6520696539262794,3.6160728543779737,-2.0454382430612483,-3.6520696539262794,0.0
