date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-3-value,GridSim-0.Bus-4-value,GridSim-0.Bus-2-value,GridSim-0.Bus-1-value,GridSim-0.Bus-5-value,GridSim-0.Bus-0-value
2016-01-01 00:00:00,0,0,13.204278945922852,4.015787868392707,-2.27677059705389,4.153970068342071,4.218137014777376,0.0,-2.1116910427476654,-4.015787868392707
2016-01-01 00:00:01,4.015787868392707,0,0.07106947898864746,4.015787868392707,-2.27677059705389,4.153970068342071,4.218137014777376,0.0,-2.1116910427476654,-4.015787868392707
2016-01-01 00:15:00,4.015787868392707,0,14.223967790603638,0.2069406640280906,-5.978284870624684,4.417392726603666,3.753031847802021,0.0,-2.0283090755368605,-0.2069406640280906
2016-01-01 00:15:01,0.2069406640280906,0,0.07811880111694336,0.2069406640280906,-5.978284870624684,4.417392726603666,3.753031847802021,0.0,-2.0283090755368605,-0.2069406640280906
2016-01-01 00:30:00,0.2069406640280906,0,16.442341089248657,2.761440404770101,-3.1343255141313975,4.40491978255009,3.507331283624581,0.0,-2.0483708956220426,-2.761440404770101
2016-01-01 00:30:01,2.761440404770101,0,0.0642082691192627,2.761440404770101,-3.1343255141313975,4.40491978255009,3.507331283624581,0.0,-2.0483708956220426,-2.761440404770101
2016-01-01 00:45:00,2.761440404770101,0,12.098206996917725,0.04336636966631625,-6.323365513085655,4.400767189410798,4.075053236918285,0.0,-2.155254232683035,-0.04336636966631625
2016-01-01 00:45:01,0.04336636966631625,0,0.07813405990600586,0.04336636966631625,-6.323365513085655,4.400767189410798,4.075053236918285,0.0,-2.155254232683035,-0.04336636966631625
2016-01-01 01:00:00,0.04336636966631625,0,15.64357328414917,3.6431550996789115,-2.083918944086882,3.6160728543779737,4.136015917124718,0.0,-2.0543632250946686,-3.6431550996789115
2016-01-01 01:00:01,3.6431550996789115,0,0.09377288818359375,3.6431550996789115,-2.083918944086882,3.6160728543779737,4.136015917124718,0.0,-2.0543632250946686,-3.6431550996789115
